ID	patient	stim	map_id
GSM2695135	PS1	0	PS1_NS
GSM2695136	PS2	0	PS2_NS
GSM2695137	PS3	0	PS3_NS
GSM2695138	PS5	0	PS5_NS
GSM2695139	PS6	0	PS6_NS
GSM2695140	PS7	0	PS7_NS
GSM2695141	PS8	0	PS8_NS
GSM2695142	PS9	0	PS9_NS
GSM2695143	PS10	0	PS10_NS
GSM2695144	PS11	0	PS11_NS
GSM2695145	PS13	0	PS13_NS
GSM2695146	PS15	0	PS15_NS
GSM2695147	PS16	0	PS16_NS
GSM2695148	PS17	0	PS17_NS
GSM2695149	PS18	0	PS18_NS
GSM2695150	PS19	0	PS19_NS
GSM2695151	PS20	0	PS20_NS
GSM2695152	PS21	0	PS21_NS
GSM2695153	PS22	0	PS22_NS
GSM2695154	PS23	0	PS23_NS
GSM2695155	PS24	0	PS24_NS
GSM2695156	PS26	0	PS26_NS
GSM2695157	PS27	0	PS27_NS
GSM2695158	PS28	0	PS28_NS
GSM2695159	PS29	0	PS29_NS
GSM2695160	PS30	0	PS30_NS
GSM2695161	PS33	0	PS33_NS
GSM2695162	PS34	0	PS34_NS
GSM2695163	PS35	0	PS35_NS
GSM2695164	PS36	0	PS36_NS
GSM2695165	PS37	0	PS37_NS
GSM2695166	PS38	0	PS38_NS
GSM2695167	PS40	0	PS40_NS
GSM2695168	PS41	0	PS41_NS
GSM2695169	PS42	0	PS42_NS
GSM2695170	PS43	0	PS43_NS
GSM2695171	PS44	0	PS44_NS
GSM2695172	PS45	0	PS45_NS
GSM2695173	PS46	0	PS46_NS
GSM2695174	PS49	0	PS49_NS
GSM2695175	PS50	0	PS50_NS
GSM2695176	PS52	0	PS52_NS
GSM2695177	PS53	0	PS53_NS
GSM2695178	PS54	0	PS54_NS
GSM2695179	PS56	0	PS56_NS
GSM2695180	PS58	1	PS58
GSM2695181	PS59	0	PS59_NS
GSM2695182	PS60	0	PS60_NS
GSM2695183	PS62	0	PS62_NS
GSM2695184	PS63	0	PS63_NS
GSM2695185	PS1	1	PS1
GSM2695186	PS2	1	PS2
GSM2695187	PS3	1	PS3
GSM2695188	PS5	1	PS5
GSM2695189	PS6	1	PS6
GSM2695190	PS7	1	PS7
GSM2695191	PS8	1	PS8
GSM2695192	PS9	1	PS9
GSM2695193	PS10	1	PS10
GSM2695194	PS11	1	PS11
GSM2695195	PS13	1	PS13
GSM2695196	PS15	1	PS15
GSM2695197	PS16	1	PS16
GSM2695198	PS17	1	PS17
GSM2695199	PS18	1	PS18
GSM2695200	PS19	1	PS19
GSM2695201	PS20	1	PS20
GSM2695202	PS21	1	PS21
GSM2695203	PS22	1	PS22
GSM2695204	PS23	1	PS23
GSM2695205	PS24	1	PS24
GSM2695206	PS26	1	PS26
GSM2695207	PS27	1	PS27
GSM2695208	PS28	1	PS28
GSM2695209	PS29	1	PS29
GSM2695210	PS30	1	PS30
GSM2695211	PS33	1	PS33
GSM2695212	PS34	1	PS34
GSM2695213	PS35	1	PS35
GSM2695214	PS36	1	PS36
GSM2695215	PS37	1	PS37
GSM2695216	PS38	1	PS38
GSM2695217	PS40	1	PS40
GSM2695218	PS41	1	PS41
GSM2695219	PS42	1	PS42
GSM2695220	PS43	1	PS43
GSM2695221	PS44	1	PS44
GSM2695222	PS45	1	PS45
GSM2695223	PS46	1	PS46
GSM2695224	PS49	1	PS49
GSM2695225	PS50	1	PS50
GSM2695226	PS52	1	PS52
GSM2695227	PS53	1	PS53
GSM2695228	PS54	1	PS54
GSM2695229	PS56	1	PS56
GSM2695230	PS58	0	PS58_NS
GSM2695231	PS59	1	PS59
GSM2695232	PS60	1	PS60
GSM2695233	PS61	1	PS61
GSM2695234	PS62	1	PS62
GSM2695235	PS63	1	PS63
GSM2695236	PS61	0	PS61_NS
