o_hom	e_hom	nm	miss
285743	2.85E+05	349511	0.004911
286477	2.86E+05	350884	0.001002
286936	2.86E+05	350815	0.001199
285736	2.86E+05	350604	0.001799
286410	2.86E+05	350931	0.0008684
285774	2.86E+05	350554	0.001942
285834	2.86E+05	350902	0.0009509
286164	2.86E+05	350788	0.001275
285939	2.86E+05	350768	0.001332
286031	2.86E+05	350851	0.001096
282250	2.83E+05	346491	0.01351
286867	2.86E+05	350916	0.0009111
285909	2.86E+05	350633	0.001717
285681	2.86E+05	350377	0.002446
286992	2.86E+05	350487	0.002132
285363	2.86E+05	350701	0.001523
286018	2.86E+05	350278	0.002728
286111	2.86E+05	350923	0.0008911
286325	2.86E+05	350875	0.001028
285967	2.86E+05	350684	0.001572
286821	2.86E+05	350733	0.001432
286709	2.86E+05	350878	0.001019
286369	2.86E+05	350706	0.001509
286476	2.86E+05	350760	0.001355
285900	2.86E+05	350791	0.001267
286980	2.86E+05	350882	0.001008
286538	2.86E+05	350820	0.001184
286149	2.86E+05	350922	0.000894
286500	2.86E+05	350717	0.001478
286052	2.86E+05	350655	0.001654
287176	2.86E+05	350880	0.001014
286665	2.86E+05	350909	0.000931
286083	2.86E+05	350522	0.002033
285887	2.86E+05	351005	0.0006577
287046	2.86E+05	350921	0.0008968
286844	2.86E+05	350628	0.001731
286475	2.86E+05	350899	0.0009595
286666	2.86E+05	350796	0.001253
286578	2.86E+05	350792	0.001264
286504	2.86E+05	350739	0.001415
286852	2.86E+05	350820	0.001184
286774	2.86E+05	350934	0.0008598
286215	2.86E+05	350620	0.001754
286947	2.86E+05	350876	0.001025
285729	2.86E+05	350937	0.0008513
285868	2.86E+05	350570	0.001896
286563	2.86E+05	350857	0.001079
287223	2.86E+05	350933	0.0008627
287214	2.86E+05	350806	0.001224
286669	2.86E+05	350962	0.0007801
285856	2.86E+05	350779	0.001301
286687	2.86E+05	350921	0.0008968
286087	2.86E+05	350941	0.0008399
285073	2.85E+05	349804	0.004077
286312	2.86E+05	350891	0.0009822
285767	2.86E+05	350800	0.001241
286434	2.86E+05	350864	0.001059
285730	2.86E+05	350897	0.0009652
285513	2.86E+05	350788	0.001275
286104	2.86E+05	350883	0.001005
286247	2.86E+05	350382	0.002431
285914	2.86E+05	350819	0.001187
287389	2.86E+05	350850	0.001099
286925	2.86E+05	350949	0.0008171
287279	2.86E+05	350731	0.001438
286843	2.86E+05	350685	0.001569
285830	2.86E+05	350921	0.0008968
286267	2.86E+05	350835	0.001142
285924	2.86E+05	350922	0.000894
285793	2.86E+05	350806	0.001224
286502	2.86E+05	350885	0.0009993
286101	2.85E+05	349685	0.004416
288937	2.86E+05	350901	0.0009538
285986	2.86E+05	350935	0.000857
285270	2.86E+05	350261	0.002776
286769	2.86E+05	350915	0.0009139
286697	2.86E+05	350841	0.001125
285900	2.86E+05	350745	0.001398
286399	2.86E+05	351001	0.0006691
286281	2.86E+05	350724	0.001458
286045	2.86E+05	350828	0.001162
287049	2.86E+05	350982	0.0007232
285754	2.86E+05	350678	0.001589
286500	2.86E+05	350735	0.001426
286611	2.86E+05	350864	0.001059
286311	2.86E+05	350904	0.0009452
286053	2.86E+05	350821	0.001182
