o_hom	e_hom	nm	miss	het	logit_miss
300961	301000	366868	0.001538	0.179647721	-6.475733224
301020	301000	367126	0.0008355	0.18006352	-7.086644361
300874	301000	366913	0.001415	0.179985446	-6.559209746
300889	301000	367095	0.0009199	0.180351135	-6.990325266
300606	301000	366842	0.001608	0.180557297	-6.431154814
301461	301000	367117	0.00086	0.178842167	-7.057717799
300940	301000	366948	0.00132	0.179883798	-6.62880267
302850	301000	367122	0.0008464	0.175069868	-7.073671738
301134	301000	366907	0.001432	0.17926341	-6.547250184
301331	301000	367131	0.0008219	0.179227578	-7.103069587
300618	301000	366918	0.001402	0.180694324	-6.568452507
300973	301000	366998	0.001184	0.179905613	-6.737672041
301421	301000	366832	0.001636	0.178313233	-6.413863701
301168	301000	367079	0.0009634	0.179555355	-6.944077999
300792	301000	366960	0.001287	0.180313931	-6.654153521
301219	301000	366986	0.001217	0.179208471	-6.710148724
301058	301000	367026	0.001108	0.179736585	-6.804090076
300432	301000	367161	0.0007403	0.181743159	-7.207714474
301813	301000	367008	0.001157	0.17763918	-6.760767161
301033	301000	367094	0.0009226	0.179956632	-6.987391761
300944	301000	366988	0.001211	0.179962288	-6.715097081
301500	301000	367133	0.0008165	0.178771726	-7.109666812
301359	301000	367073	0.0009798	0.179021612	-6.927181808
301055	301000	367160	0.000743	0.180044122	-7.204071237
300817	301000	366758	0.001837	0.179794306	-6.297782783
301394	301000	366467	0.002629	0.177568512	-5.938519271
300825	301000	367092	0.0009281	0.18051878	-6.981442541
301722	301000	367200	0.0006341	0.178316993	-7.362669586
300808	301000	367085	0.0009471	0.180549464	-6.961158325
301420	301000	367091	0.0009308	0.178895696	-6.978534893
302881	301000	367117	0.00086	0.174974191	-7.057717799
300527	301000	367130	0.0008246	0.181415302	-7.099787198
305875	301000	367005	0.001165	0.166564488	-6.753868513
302045	301000	367177	0.0006967	0.177385838	-7.268458713
300270	301000	366972	0.001255	0.181763186	-6.679363918
300551	301000	367209	0.0006096	0.181526052	-7.402097768
304729	301000	367058	0.001021	0.169806951	-6.885951218
301969	301000	366724	0.00193	0.176576935	-6.248303411
302454	301000	367178	0.000694	0.176274178	-7.272344357
301760	301000	366717	0.001949	0.177131139	-6.238487957
300497	301000	367185	0.000675	0.18161962	-7.300122639
300623	301000	367088	0.0009389	0.181060127	-6.96986224
300068	301000	367155	0.0007566	0.182721194	-7.185918959
302274	301000	367213	0.0005987	0.176842868	-7.420151041
302033	301000	367154	0.0007593	0.17736699	-7.182354013
300797	301000	367055	0.001029	0.180512457	-6.878138292
301918	301000	367114	0.0008682	0.177590612	-7.048219878
301482	301000	367064	0.001004	0.178666391	-6.902758753
301413	301000	367138	0.0008029	0.179019878	-7.126477162
301068	301000	366990	0.001206	0.179628873	-6.719239453
306016	301000	367144	0.0007865	0.16649598	-7.147131026
303197	301000	367078	0.0009662	0.174025684	-6.941173039
302099	301000	367125	0.0008382	0.177122234	-7.083415271
300890	301000	367028	0.001102	0.180198786	-6.809525961
301603	301000	367145	0.0007838	0.178518024	-7.150572565
303960	301000	367078	0.0009662	0.171947107	-6.941173039
301257	301000	367178	0.000694	0.179534177	-7.272344357
302256	301000	367011	0.001149	0.176438853	-6.76771362
301150	301000	367186	0.0006722	0.179843458	-7.304282217
301596	301000	367096	0.0009172	0.178427441	-6.993267386
300465	301000	367108	0.0008845	0.181535134	-7.029603153
301466	301000	366997	0.001187	0.178560043	-6.735138458
300730	301000	366952	0.001309	0.18046502	-6.637181935
301222	301000	367028	0.001102	0.179294223	-6.809525961
301332	301000	367076	0.0009716	0.179101875	-6.935594289
300920	301000	367027	0.001105	0.180114814	-6.806804333
301604	301000	367053	0.001034	0.178309399	-6.873285968
301179	301000	367171	0.0007131	0.17973097	-7.245175541
300892	301000	366954	0.001304	0.180028014	-6.641013965
300561	301000	367010	0.001151	0.181055012	-6.765972486
301454	301000	367210	0.0006069	0.179069197	-7.406539441
301508	301000	367034	0.001086	0.17852842	-6.824167467
300973	301000	366802	0.001717	0.179467397	-6.365458221
300388	301000	366843	0.001606	0.181153791	-6.432401372
301518	301000	367051	0.00104	0.178539222	-6.867494025
300823	301000	366991	0.001203	0.180298699	-6.721733118
300612	301000	366945	0.001328	0.18077096	-6.622752345
301709	301000	366862	0.001554	0.17759539	-6.465367818
300997	301000	366956	0.001298	0.179746346	-6.645631818
300992	301000	367012	0.001146	0.179885126	-6.770331004
301784	301000	366955	0.001301	0.177599433	-6.643320232
303932	301000	366846	0.001598	0.171499757	-6.437403153
306217	301000	366965	0.001274	0.165541673	-6.66431891
301092	301000	366966	0.001271	0.179509818	-6.666679478
300841	301000	366840	0.001614	0.179912223	-6.427424405
301049	301000	367045	0.001056	0.179803566	-6.852210536
300583	301000	367063	0.001007	0.181113324	-6.899772158
301499	301000	366862	0.001554	0.178167812	-6.465367818
301158	301000	367033	0.001089	0.179479774	-6.821405842
300773	301000	366800	0.001723	0.180008179	-6.361963835
301290	301000	366890	0.001478	0.178800185	-6.515586363
300793	301000	366850	0.001587	0.180065422	-6.444321577
301290	301000	366287	0.003119	0.177448285	-5.767118967
300795	301000	366854	0.001576	0.18006891	-6.451288044
300286	301000	366625	0.002199	0.180945107	-6.117551146
301216	301000	367124	0.000841	0.179525174	-7.080077544
300760	301000	366603	0.002259	0.179603004	-6.090571486
302390	301000	367097	0.0009145	0.176266763	-6.996218172
301901	301000	366882	0.0015	0.177116893	-6.500789045
301258	301000	367043	0.001061	0.179229682	-6.847481856
300815	301000	366843	0.001606	0.179989805	-6.432401372
300876	301000	367106	0.00089	0.180411107	-7.023398699
300212	301000	366949	0.001317	0.18186996	-6.631080988
301435	301000	366934	0.001358	0.178503491	-6.600383327
300930	301000	366964	0.001276	0.179946807	-6.662748279
301464	301000	366919	0.001399	0.178390871	-6.570597604
300823	301000	367015	0.001138	0.180352302	-6.777344295
300510	301000	367056	0.001026	0.181296587	-6.881061006
300941	301000	367053	0.001034	0.180115678	-6.873285968
300664	301000	367017	0.001132	0.180789991	-6.782636658
301014	301000	366962	0.001282	0.179713431	-6.658051098
300792	301000	367156	0.0007539	0.180751506	-7.18949664
301860	301000	367103	0.0008981	0.177723963	-7.014330634
301799	301000	367155	0.0007566	0.178006564	-7.185918959
302217	301000	367021	0.001121	0.176567553	-6.792412506
304103	301000	367145	0.0007838	0.171708725	-7.150572565
300151	301000	367126	0.0008355	0.182430555	-7.086644361
302565	301000	367124	0.000841	0.175850666	-7.080077544
301446	301000	367093	0.0009253	0.178829343	-6.98446682
301495	301000	367012	0.001146	0.178514599	-6.770331004
301823	301000	367076	0.0009716	0.177764278	-6.935594289
301044	301000	367056	0.001026	0.179841768	-6.881061006
303212	301000	366952	0.001309	0.173701193	-6.637181935
301245	301000	367130	0.0008246	0.179459592	-7.099787198
301731	301000	366750	0.001859	0.177284254	-6.28585584
305153	301000	367082	0.0009553	0.168706175	-6.952529374
303397	301000	367093	0.0009253	0.173514613	-6.98446682
302497	301000	367155	0.0007566	0.17610546	-7.185918959
302513	301000	367158	0.0007484	0.176068614	-7.196824283
300945	301000	367131	0.0008219	0.180278974	-7.103069587
301359	301000	367172	0.0007103	0.179242971	-7.24911259
300403	301000	367143	0.0007893	0.18178203	-7.14357447
301760	301000	367109	0.0008818	0.178009801	-7.032663096
301143	301000	367069	0.0009907	0.17960111	-6.916107603
300530	301000	367118	0.0008573	0.181380374	-7.060864975
300438	301000	367081	0.000958	0.181548487	-6.949704321
302183	301000	367150	0.0007702	0.176949476	-7.16808984
301603	301000	366979	0.001236	0.178146433	-6.694638155
300413	301000	367196	0.000645	0.181872896	-7.345615033
300582	301000	367009	0.001154	0.180995561	-6.763366445
303346	301000	367051	0.00104	0.173558988	-6.867494025
301455	301000	367159	0.0007457	0.178952443	-7.200441205
300991	301000	366796	0.001734	0.179404901	-6.355588896
300919	301000	367111	0.0008764	0.180305139	-7.038811166
300812	301000	367070	0.0009879	0.180505081	-6.918940692
301391	301000	367173	0.0007076	0.179158054	-7.252923745
301155	301000	367146	0.0007811	0.179740485	-7.15402597
301237	301000	367057	0.001023	0.179318199	-6.883992268
300611	301000	367030	0.001097	0.180963409	-6.814078496
299977	301000	366608	0.002245	0.181749989	-6.096802234
300593	301000	366956	0.001298	0.180847295	-6.645631818
301651	301000	366907	0.001432	0.177854334	-6.547250184
301886	301000	367080	0.0009607	0.177601613	-6.946887211
300630	301000	367144	0.0007865	0.181165973	-7.147131026
301619	301000	367063	0.001007	0.17829092	-6.899772158
300228	301000	367027	0.001105	0.182000234	-6.806804333
301531	301000	367084	0.0009498	0.178577655	-6.958308871
300694	301000	366896	0.001461	0.180438053	-6.527172078
301512	301000	367110	0.0008791	0.178687587	-7.035732414
300948	301000	367080	0.0009607	0.180156914	-6.946887211
302062	301000	367134	0.0008138	0.177243186	-7.112981791
300915	301000	366883	0.001497	0.179806641	-6.502794052
300956	301000	366865	0.001546	0.179654641	-6.470537133
302795	301000	367127	0.0008328	0.175230915	-7.089883894
301439	301000	366874	0.001521	0.178358237	-6.486865108
300625	301000	367064	0.001004	0.181001133	-6.902758753
300873	301000	367110	0.0008791	0.18042821	-7.035732414
300961	301000	366972	0.001255	0.179880209	-6.679363918
301272	301000	367084	0.0009498	0.179283216	-6.958308871
308159	301000	366963	0.001279	0.160245038	-6.660396938
301285	301000	366901	0.001448	0.178838433	-6.536122936
301037	301000	367069	0.0009907	0.179889884	-6.916107603
301280	301000	366978	0.001238	0.179024356	-6.693019338
301546	301000	367100	0.0009063	0.178572596	-7.00523347
301536	301000	366877	0.001513	0.178100562	-6.492146698
300966	301000	366737	0.001894	0.179341054	-6.267168488
300256	301000	366880	0.001505	0.181596162	-6.497456247
301703	301000	367121	0.0008491	0.178191931	-7.070484132
300619	301000	367074	0.000977	0.18103979	-6.930046428
301318	301000	366880	0.001505	0.178701483	-6.497456247
301016	301000	367092	0.0009281	0.179998474	-6.981442541
300008	3.00E+05	365412	0.0055	0.178987006	-5.197492006
300919	301000	367102	0.0009008	0.180285043	-7.011326095
302776	301000	366556	0.002387	0.17399797	-6.035328078
301489	301000	367112	0.0008736	0.178754712	-7.042013971
299816	299000	364726	0.007367	0.177969215	-4.903350441
301549	301000	366907	0.001432	0.178132333	-6.547250184
301687	301000	367059	0.001018	0.178096709	-6.888896842
301020	301000	367090	0.0009335	0.17998311	-6.975635659
304482	301000	367085	0.0009471	0.170540883	-6.961158325
302866	301000	366786	0.001761	0.174270556	-6.340110897
301146	301000	367000	0.001178	0.179438692	-6.742758499
300198	301000	367044	0.001059	0.182119855	-6.849370651
300480	301000	367123	0.0008437	0.181527717	-7.076869521
301285	301000	366684	0.002038	0.178352478	-6.193746265
300863	301000	367039	0.001072	0.180296917	-6.837156641
301939	301000	366914	0.001413	0.177085094	-6.560626176
301226	301000	367086	0.0009444	0.179412999	-6.964015907
300440	301000	366502	0.002534	0.18025004	-5.975418981
301316	301000	367019	0.001127	0.17901798	-6.787068408
301048	301000	366816	0.001679	0.179294251	-6.38787649
302322	301000	367081	0.000958	0.176416104	-6.949704321
300874	301000	367008	0.001157	0.180197707	-6.760767161
302098	301000	367127	0.0008328	0.17712944	-7.089883894
301349	301000	367156	0.0007539	0.17923444	-7.18949664
301024	301000	367136	0.0008083	0.180074959	-7.119768654
